Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.7783,Sat Jun 09 15:02:02 +0000 2018,0.673,0.327,0.0,1
0.7717,Sat Jun 09 14:04:02 +0000 2018,0.472,0.0,0.528,2
0.0,Sat Jun 09 13:24:03 +0000 2018,1.0,0.0,0.0,3
0.0,Sat Jun 09 13:03:06 +0000 2018,1.0,0.0,0.0,4
0.0,Sat Jun 09 12:23:25 +0000 2018,1.0,0.0,0.0,5
0.8986,Sat Jun 09 12:03:00 +0000 2018,0.423,0.0,0.577,6
0.0,Sat Jun 09 11:10:52 +0000 2018,1.0,0.0,0.0,7
-0.8402,Sat Jun 09 11:04:08 +0000 2018,0.667,0.333,0.0,8
0.0,Sat Jun 09 10:10:06 +0000 2018,1.0,0.0,0.0,9
-0.6808,Sat Jun 09 10:09:40 +0000 2018,0.73,0.219,0.051,10
0.7717,Sat Jun 09 08:55:42 +0000 2018,0.732,0.0,0.268,11
0.6239,Sat Jun 09 08:54:21 +0000 2018,0.806,0.0,0.194,12
0.0,Sat Jun 09 08:53:14 +0000 2018,1.0,0.0,0.0,13
0.7579,Sat Jun 09 08:52:54 +0000 2018,0.755,0.0,0.245,14
0.8122,Sat Jun 09 08:52:46 +0000 2018,0.697,0.0,0.303,15
0.5859,Sat Jun 09 08:52:33 +0000 2018,0.853,0.0,0.147,16
0.0,Sat Jun 09 08:50:01 +0000 2018,1.0,0.0,0.0,17
0.0,Sat Jun 09 08:32:05 +0000 2018,1.0,0.0,0.0,18
0.7783,Sat Jun 09 07:28:04 +0000 2018,0.51,0.097,0.393,19
0.0,Fri Jun 08 20:04:03 +0000 2018,1.0,0.0,0.0,20
0.7809,Fri Jun 08 18:09:05 +0000 2018,0.617,0.0,0.383,21
0.5574,Fri Jun 08 17:03:04 +0000 2018,0.841,0.0,0.159,22
0.0,Fri Jun 08 16:02:00 +0000 2018,1.0,0.0,0.0,23
0.4019,Fri Jun 08 13:03:05 +0000 2018,0.821,0.0,0.179,24
0.784,Fri Jun 08 12:28:10 +0000 2018,0.734,0.0,0.266,25
0.34,Fri Jun 08 12:24:37 +0000 2018,0.833,0.0,0.167,26
-0.6486,Fri Jun 08 12:19:25 +0000 2018,0.815,0.185,0.0,27
0.0,Fri Jun 08 12:04:03 +0000 2018,1.0,0.0,0.0,28
-0.2263,Fri Jun 08 11:03:04 +0000 2018,0.894,0.106,0.0,29
0.2023,Fri Jun 08 10:52:51 +0000 2018,0.927,0.0,0.073,30
0.0,Fri Jun 08 10:50:03 +0000 2018,1.0,0.0,0.0,31
-0.3089,Fri Jun 08 09:01:04 +0000 2018,0.83,0.17,0.0,32
0.4404,Fri Jun 08 08:46:14 +0000 2018,0.861,0.0,0.139,33
0.5413,Fri Jun 08 08:01:07 +0000 2018,0.741,0.0,0.259,34
-0.3089,Fri Jun 08 07:29:05 +0000 2018,0.894,0.106,0.0,35
0.0,Fri Jun 08 07:00:18 +0000 2018,1.0,0.0,0.0,36
-0.3612,Thu Jun 07 19:04:09 +0000 2018,0.857,0.143,0.0,37
0.0,Thu Jun 07 18:00:21 +0000 2018,1.0,0.0,0.0,38
0.7964,Thu Jun 07 16:02:03 +0000 2018,0.53,0.0,0.47,39
0.4404,Thu Jun 07 15:36:48 +0000 2018,0.884,0.0,0.116,40
0.8043,Thu Jun 07 15:32:24 +0000 2018,0.544,0.086,0.369,41
-0.7906,Thu Jun 07 14:04:02 +0000 2018,0.731,0.269,0.0,42
-0.4588,Thu Jun 07 13:00:43 +0000 2018,0.862,0.138,0.0,43
0.2263,Thu Jun 07 13:00:26 +0000 2018,0.921,0.0,0.079,44
-0.5574,Thu Jun 07 12:01:05 +0000 2018,0.659,0.242,0.099,45
0.6531,Thu Jun 07 11:46:22 +0000 2018,0.706,0.057,0.237,46
0.7003,Thu Jun 07 11:01:05 +0000 2018,0.784,0.0,0.216,47
0.0,Thu Jun 07 09:37:40 +0000 2018,1.0,0.0,0.0,48
0.3612,Thu Jun 07 08:01:03 +0000 2018,0.828,0.0,0.172,49
0.3182,Thu Jun 07 07:28:01 +0000 2018,0.892,0.0,0.108,50
0.5106,Thu Jun 07 07:01:05 +0000 2018,0.732,0.0,0.268,51
0.0,Wed Jun 06 20:44:01 +0000 2018,1.0,0.0,0.0,52
0.3818,Wed Jun 06 20:04:00 +0000 2018,0.86,0.0,0.14,53
0.0,Wed Jun 06 19:03:03 +0000 2018,1.0,0.0,0.0,54
0.1779,Wed Jun 06 18:03:04 +0000 2018,0.718,0.122,0.16,55
0.0,Wed Jun 06 17:02:09 +0000 2018,1.0,0.0,0.0,56
0.0,Wed Jun 06 16:00:01 +0000 2018,1.0,0.0,0.0,57
0.3182,Wed Jun 06 13:02:05 +0000 2018,0.892,0.0,0.108,58
-0.5574,Wed Jun 06 12:21:20 +0000 2018,0.847,0.153,0.0,59
-0.6523,Wed Jun 06 12:03:06 +0000 2018,0.764,0.236,0.0,60
0.0,Wed Jun 06 11:02:02 +0000 2018,1.0,0.0,0.0,61
0.0,Wed Jun 06 10:01:40 +0000 2018,1.0,0.0,0.0,62
0.4215,Wed Jun 06 08:55:39 +0000 2018,0.833,0.0,0.167,63
0.0,Wed Jun 06 08:55:07 +0000 2018,1.0,0.0,0.0,64
0.2732,Wed Jun 06 08:02:01 +0000 2018,0.698,0.126,0.177,65
-0.6486,Wed Jun 06 07:31:01 +0000 2018,0.711,0.229,0.059,66
0.0,Wed Jun 06 07:04:04 +0000 2018,1.0,0.0,0.0,67
-0.4019,Tue Jun 05 19:25:03 +0000 2018,0.863,0.137,0.0,68
-0.7184,Tue Jun 05 19:02:05 +0000 2018,0.727,0.273,0.0,69
0.0,Tue Jun 05 18:02:06 +0000 2018,1.0,0.0,0.0,70
0.8221,Tue Jun 05 16:50:46 +0000 2018,0.719,0.0,0.281,71
-0.6486,Tue Jun 05 16:31:52 +0000 2018,0.777,0.223,0.0,72
-0.1531,Tue Jun 05 16:00:22 +0000 2018,0.814,0.11,0.076,73
0.6369,Tue Jun 05 13:01:07 +0000 2018,0.84,0.0,0.16,74
0.6696,Tue Jun 05 12:00:22 +0000 2018,0.64,0.0,0.36,75
0.4019,Tue Jun 05 11:12:05 +0000 2018,0.863,0.0,0.137,76
0.0,Tue Jun 05 11:00:07 +0000 2018,1.0,0.0,0.0,77
0.0,Tue Jun 05 10:45:52 +0000 2018,1.0,0.0,0.0,78
0.7096,Tue Jun 05 10:34:07 +0000 2018,0.763,0.0,0.237,79
0.7506,Tue Jun 05 10:31:20 +0000 2018,0.758,0.0,0.242,80
0.0,Tue Jun 05 10:21:33 +0000 2018,1.0,0.0,0.0,81
0.0,Tue Jun 05 09:34:23 +0000 2018,1.0,0.0,0.0,82
0.0,Tue Jun 05 08:01:03 +0000 2018,1.0,0.0,0.0,83
-0.5719,Tue Jun 05 07:29:04 +0000 2018,0.654,0.346,0.0,84
0.0,Tue Jun 05 07:00:11 +0000 2018,1.0,0.0,0.0,85
-0.5707,Mon Jun 04 19:03:02 +0000 2018,0.822,0.178,0.0,86
-0.4767,Mon Jun 04 18:31:05 +0000 2018,0.829,0.171,0.0,87
-0.5859,Mon Jun 04 18:02:05 +0000 2018,0.769,0.231,0.0,88
0.0,Mon Jun 04 17:01:13 +0000 2018,1.0,0.0,0.0,89
0.0,Mon Jun 04 16:01:04 +0000 2018,1.0,0.0,0.0,90
-0.4215,Mon Jun 04 13:03:05 +0000 2018,0.851,0.149,0.0,91
0.5411,Mon Jun 04 12:34:04 +0000 2018,0.83,0.0,0.17,92
0.6369,Mon Jun 04 12:01:05 +0000 2018,0.743,0.0,0.257,93
0.0,Mon Jun 04 11:05:00 +0000 2018,1.0,0.0,0.0,94
0.8774,Mon Jun 04 10:18:03 +0000 2018,0.643,0.0,0.357,95
0.7263,Mon Jun 04 08:00:15 +0000 2018,0.483,0.135,0.381,96
0.0,Mon Jun 04 07:24:07 +0000 2018,1.0,0.0,0.0,97
0.2006,Mon Jun 04 07:00:15 +0000 2018,0.715,0.119,0.166,98
-0.296,Sun Jun 03 20:42:07 +0000 2018,0.864,0.136,0.0,99
0.0,Sun Jun 03 20:03:08 +0000 2018,1.0,0.0,0.0,100
