Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.5719,Sat Jun 09 15:29:42 +0000 2018,0.837,0.0,0.163,1
0.0,Sat Jun 09 15:10:07 +0000 2018,1.0,0.0,0.0,2
-0.7096,Sat Jun 09 14:49:49 +0000 2018,0.608,0.289,0.103,3
-0.0772,Sat Jun 09 14:39:43 +0000 2018,0.944,0.056,0.0,4
0.0,Sat Jun 09 14:36:02 +0000 2018,1.0,0.0,0.0,5
0.0,Sat Jun 09 14:31:24 +0000 2018,1.0,0.0,0.0,6
0.0,Sat Jun 09 14:26:38 +0000 2018,1.0,0.0,0.0,7
0.6597,Sat Jun 09 14:23:43 +0000 2018,0.803,0.0,0.197,8
0.8214,Sat Jun 09 14:22:36 +0000 2018,0.735,0.0,0.265,9
0.5423,Sat Jun 09 14:20:16 +0000 2018,0.877,0.0,0.123,10
0.3818,Sat Jun 09 14:16:38 +0000 2018,0.847,0.0,0.153,11
0.0,Sat Jun 09 14:14:03 +0000 2018,1.0,0.0,0.0,12
-0.7269,Sat Jun 09 13:49:30 +0000 2018,0.736,0.264,0.0,13
-0.5994,Sat Jun 09 13:30:03 +0000 2018,0.769,0.231,0.0,14
-0.2263,Sat Jun 09 13:15:54 +0000 2018,0.888,0.112,0.0,15
0.5106,Sat Jun 09 13:03:03 +0000 2018,0.784,0.0,0.216,16
-0.5106,Sat Jun 09 12:48:04 +0000 2018,0.784,0.216,0.0,17
-0.0258,Sat Jun 09 12:33:04 +0000 2018,0.927,0.073,0.0,18
-0.8481,Sat Jun 09 12:18:04 +0000 2018,0.521,0.479,0.0,19
-0.6808,Sat Jun 09 12:03:04 +0000 2018,0.699,0.301,0.0,20
0.0,Sat Jun 09 11:48:03 +0000 2018,1.0,0.0,0.0,21
0.0,Sat Jun 09 11:33:03 +0000 2018,1.0,0.0,0.0,22
-0.7579,Sat Jun 09 11:18:03 +0000 2018,0.519,0.481,0.0,23
-0.3182,Sat Jun 09 11:03:05 +0000 2018,0.796,0.204,0.0,24
0.5574,Sat Jun 09 10:48:04 +0000 2018,0.769,0.0,0.231,25
-0.5994,Sat Jun 09 10:33:04 +0000 2018,0.642,0.358,0.0,26
0.5859,Sat Jun 09 10:18:05 +0000 2018,0.648,0.0,0.352,27
0.6705,Sat Jun 09 10:03:05 +0000 2018,0.593,0.0,0.407,28
-0.34,Sat Jun 09 09:48:06 +0000 2018,0.806,0.194,0.0,29
0.0,Sat Jun 09 09:33:03 +0000 2018,1.0,0.0,0.0,30
-0.1779,Sat Jun 09 09:18:04 +0000 2018,0.476,0.295,0.229,31
-0.8126,Sat Jun 09 09:03:08 +0000 2018,0.625,0.375,0.0,32
-0.7096,Sat Jun 09 08:48:04 +0000 2018,0.67,0.33,0.0,33
-0.6486,Sat Jun 09 08:33:04 +0000 2018,0.736,0.264,0.0,34
-0.0258,Sat Jun 09 08:18:03 +0000 2018,0.927,0.073,0.0,35
-0.5106,Sat Jun 09 08:03:04 +0000 2018,0.784,0.216,0.0,36
-0.8481,Sat Jun 09 07:48:03 +0000 2018,0.521,0.479,0.0,37
-0.6124,Sat Jun 09 07:33:03 +0000 2018,0.692,0.308,0.0,38
0.0,Sat Jun 09 07:18:03 +0000 2018,1.0,0.0,0.0,39
0.296,Sat Jun 09 07:03:04 +0000 2018,0.845,0.0,0.155,40
-0.7579,Sat Jun 09 06:48:04 +0000 2018,0.519,0.481,0.0,41
