Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.296,Sat Jun 09 15:27:34 +0000 2018,0.824,0.176,0.0,1
0.0,Sat Jun 09 15:13:56 +0000 2018,1.0,0.0,0.0,2
-0.4585,Sat Jun 09 14:57:06 +0000 2018,0.813,0.187,0.0,3
-0.0772,Sat Jun 09 14:43:08 +0000 2018,0.933,0.067,0.0,4
0.6597,Sat Jun 09 14:36:51 +0000 2018,0.822,0.0,0.178,5
0.2732,Sat Jun 09 14:30:03 +0000 2018,0.884,0.0,0.116,6
0.539,Sat Jun 09 14:24:10 +0000 2018,0.852,0.0,0.148,7
-0.3412,Sat Jun 09 14:20:07 +0000 2018,0.789,0.211,0.0,8
0.5574,Sat Jun 09 14:18:20 +0000 2018,0.813,0.0,0.187,9
0.0,Sat Jun 09 14:16:21 +0000 2018,1.0,0.0,0.0,10
0.0,Sat Jun 09 14:09:49 +0000 2018,1.0,0.0,0.0,11
0.34,Sat Jun 09 14:01:04 +0000 2018,0.888,0.0,0.112,12
-0.3818,Sat Jun 09 13:46:07 +0000 2018,0.833,0.167,0.0,13
0.0,Sat Jun 09 13:31:03 +0000 2018,1.0,0.0,0.0,14
0.5719,Sat Jun 09 13:26:05 +0000 2018,0.829,0.0,0.171,15
0.5859,Sat Jun 09 13:16:00 +0000 2018,0.847,0.0,0.153,16
0.0,Sat Jun 09 13:01:05 +0000 2018,1.0,0.0,0.0,17
0.0,Sat Jun 09 12:53:19 +0000 2018,0.763,0.119,0.119,18
0.6124,Sat Jun 09 12:46:08 +0000 2018,0.762,0.0,0.238,19
0.3818,Sat Jun 09 12:31:06 +0000 2018,0.698,0.0,0.302,20
0.4939,Sat Jun 09 12:16:00 +0000 2018,0.856,0.0,0.144,21
0.4576,Sat Jun 09 12:01:03 +0000 2018,0.786,0.0,0.214,22
-0.5994,Sat Jun 09 11:52:04 +0000 2018,0.849,0.151,0.0,23
0.0,Sat Jun 09 11:46:00 +0000 2018,1.0,0.0,0.0,24
-0.296,Sat Jun 09 11:31:05 +0000 2018,0.824,0.176,0.0,25
0.3612,Sat Jun 09 11:16:00 +0000 2018,0.878,0.0,0.122,26
0.765,Sat Jun 09 11:01:06 +0000 2018,0.526,0.145,0.329,27
-0.4588,Sat Jun 09 10:31:49 +0000 2018,0.857,0.143,0.0,28
0.0,Sat Jun 09 10:16:00 +0000 2018,1.0,0.0,0.0,29
0.0,Sat Jun 09 10:01:03 +0000 2018,1.0,0.0,0.0,30
0.0,Sat Jun 09 09:31:04 +0000 2018,1.0,0.0,0.0,31
0.4019,Sat Jun 09 09:29:10 +0000 2018,0.87,0.0,0.13,32
0.5859,Sat Jun 09 09:16:00 +0000 2018,0.703,0.074,0.223,33
0.0,Sat Jun 09 09:01:21 +0000 2018,1.0,0.0,0.0,34
0.0,Sat Jun 09 08:31:08 +0000 2018,1.0,0.0,0.0,35
-0.6124,Sat Jun 09 08:29:13 +0000 2018,0.762,0.238,0.0,36
0.6369,Sat Jun 09 08:16:00 +0000 2018,0.794,0.0,0.206,37
0.3612,Sat Jun 09 08:05:06 +0000 2018,0.751,0.089,0.16,38
0.0,Sat Jun 09 08:01:09 +0000 2018,1.0,0.0,0.0,39
0.2732,Sat Jun 09 07:46:00 +0000 2018,0.9,0.0,0.1,40
