Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Sat Jun 09 15:22:55 +0000 2018,1.0,0.0,0.0,1
0.0,Sat Jun 09 15:15:56 +0000 2018,1.0,0.0,0.0,2
0.3612,Sat Jun 09 15:15:00 +0000 2018,0.884,0.0,0.116,3
0.0,Sat Jun 09 15:13:01 +0000 2018,1.0,0.0,0.0,4
-0.2023,Sat Jun 09 15:12:39 +0000 2018,0.727,0.173,0.1,5
0.0,Sat Jun 09 15:09:24 +0000 2018,1.0,0.0,0.0,6
0.0,Sat Jun 09 14:59:00 +0000 2018,1.0,0.0,0.0,7
-0.6115,Sat Jun 09 14:49:00 +0000 2018,0.778,0.222,0.0,8
-0.5994,Sat Jun 09 14:45:00 +0000 2018,0.782,0.218,0.0,9
-0.4767,Sat Jun 09 14:39:23 +0000 2018,0.838,0.162,0.0,10
0.5859,Sat Jun 09 14:37:00 +0000 2018,0.798,0.0,0.202,11
0.0,Sat Jun 09 14:32:20 +0000 2018,1.0,0.0,0.0,12
0.0,Sat Jun 09 14:29:58 +0000 2018,1.0,0.0,0.0,13
0.0,Sat Jun 09 14:29:13 +0000 2018,1.0,0.0,0.0,14
0.3612,Sat Jun 09 14:24:45 +0000 2018,0.894,0.0,0.106,15
0.3612,Sat Jun 09 14:23:31 +0000 2018,0.884,0.0,0.116,16
-0.6808,Sat Jun 09 14:21:45 +0000 2018,0.645,0.355,0.0,17
0.0,Sat Jun 09 14:20:19 +0000 2018,1.0,0.0,0.0,18
0.0,Sat Jun 09 14:19:30 +0000 2018,1.0,0.0,0.0,19
-0.5574,Sat Jun 09 14:17:11 +0000 2018,0.739,0.261,0.0,20
0.9149,Sat Jun 09 14:16:44 +0000 2018,0.484,0.0,0.516,21
0.5574,Sat Jun 09 14:15:51 +0000 2018,0.741,0.0,0.259,22
0.0,Sat Jun 09 14:14:52 +0000 2018,1.0,0.0,0.0,23
0.5859,Sat Jun 09 14:14:28 +0000 2018,0.789,0.0,0.211,24
0.6566,Sat Jun 09 14:13:34 +0000 2018,0.616,0.0,0.384,25
0.0,Sat Jun 09 14:12:42 +0000 2018,1.0,0.0,0.0,26
0.0,Sat Jun 09 14:10:30 +0000 2018,1.0,0.0,0.0,27
0.0,Sat Jun 09 14:00:04 +0000 2018,1.0,0.0,0.0,28
-0.7579,Sat Jun 09 13:56:15 +0000 2018,0.629,0.371,0.0,29
0.3818,Sat Jun 09 13:48:53 +0000 2018,0.729,0.0,0.271,30
-0.4019,Sat Jun 09 13:43:02 +0000 2018,0.828,0.172,0.0,31
0.0,Sat Jun 09 13:35:06 +0000 2018,1.0,0.0,0.0,32
0.0,Sat Jun 09 13:25:04 +0000 2018,1.0,0.0,0.0,33
0.4404,Sat Jun 09 13:20:40 +0000 2018,0.591,0.133,0.276,34
0.0,Sat Jun 09 13:05:39 +0000 2018,1.0,0.0,0.0,35
0.0,Sat Jun 09 12:53:13 +0000 2018,1.0,0.0,0.0,36
0.0,Sat Jun 09 12:30:56 +0000 2018,1.0,0.0,0.0,37
0.0,Sat Jun 09 12:23:34 +0000 2018,1.0,0.0,0.0,38
-0.6597,Sat Jun 09 12:15:53 +0000 2018,0.747,0.253,0.0,39
0.4215,Sat Jun 09 11:59:13 +0000 2018,0.859,0.0,0.141,40
0.4767,Sat Jun 09 11:47:24 +0000 2018,0.709,0.0,0.291,41
0.0,Sat Jun 09 11:46:05 +0000 2018,1.0,0.0,0.0,42
0.0,Sat Jun 09 11:35:37 +0000 2018,1.0,0.0,0.0,43
-0.5413,Sat Jun 09 11:22:51 +0000 2018,0.837,0.163,0.0,44
0.765,Sat Jun 09 11:14:10 +0000 2018,0.663,0.0,0.337,45
0.0,Sat Jun 09 11:06:26 +0000 2018,1.0,0.0,0.0,46
0.4767,Sat Jun 09 10:58:39 +0000 2018,0.687,0.0,0.313,47
0.0,Sat Jun 09 10:49:36 +0000 2018,1.0,0.0,0.0,48
0.0,Sat Jun 09 10:48:18 +0000 2018,1.0,0.0,0.0,49
-0.807,Sat Jun 09 10:33:09 +0000 2018,0.451,0.549,0.0,50
0.0,Sat Jun 09 10:27:06 +0000 2018,1.0,0.0,0.0,51
-0.8979,Sat Jun 09 10:15:14 +0000 2018,0.423,0.577,0.0,52
0.4404,Sat Jun 09 10:05:39 +0000 2018,0.719,0.0,0.281,53
0.5859,Sat Jun 09 09:53:23 +0000 2018,0.847,0.0,0.153,54
0.3818,Sat Jun 09 09:44:04 +0000 2018,0.776,0.0,0.224,55
-0.296,Sat Jun 09 09:24:27 +0000 2018,0.753,0.156,0.091,56
0.0,Sat Jun 09 09:16:00 +0000 2018,0.787,0.107,0.107,57
-0.6486,Sat Jun 09 09:00:00 +0000 2018,0.699,0.301,0.0,58
0.296,Sat Jun 09 08:45:00 +0000 2018,0.804,0.0,0.196,59
0.0,Sat Jun 09 08:31:00 +0000 2018,1.0,0.0,0.0,60
0.0,Sat Jun 09 08:02:00 +0000 2018,1.0,0.0,0.0,61
0.7311,Sat Jun 09 07:45:00 +0000 2018,0.755,0.0,0.245,62
-0.6705,Sat Jun 09 07:15:00 +0000 2018,0.757,0.243,0.0,63
-0.7964,Sat Jun 09 07:02:00 +0000 2018,0.585,0.415,0.0,64
-0.2263,Sat Jun 09 06:47:00 +0000 2018,0.881,0.119,0.0,65
0.0,Sat Jun 09 06:31:01 +0000 2018,1.0,0.0,0.0,66
0.7351,Sat Jun 09 06:14:00 +0000 2018,0.763,0.0,0.237,67
0.0,Sat Jun 09 06:02:00 +0000 2018,1.0,0.0,0.0,68
-0.2732,Sat Jun 09 05:45:00 +0000 2018,0.741,0.259,0.0,69
-0.0422,Sat Jun 09 05:26:00 +0000 2018,0.776,0.115,0.109,70
0.0,Sat Jun 09 05:14:00 +0000 2018,1.0,0.0,0.0,71
-0.6705,Sat Jun 09 05:02:00 +0000 2018,0.667,0.333,0.0,72
0.738,Sat Jun 09 04:46:00 +0000 2018,0.72,0.0,0.28,73
-0.0516,Sat Jun 09 04:31:00 +0000 2018,0.921,0.079,0.0,74
-0.5267,Sat Jun 09 04:15:00 +0000 2018,0.793,0.207,0.0,75
-0.8225,Sat Jun 09 04:05:59 +0000 2018,0.441,0.559,0.0,76
-0.6597,Sat Jun 09 04:03:00 +0000 2018,0.707,0.293,0.0,77
0.4404,Sat Jun 09 03:51:04 +0000 2018,0.847,0.0,0.153,78
-0.5574,Sat Jun 09 03:46:00 +0000 2018,0.825,0.175,0.0,79
0.5859,Sat Jun 09 03:01:00 +0000 2018,0.808,0.0,0.192,80
0.6124,Sat Jun 09 02:55:53 +0000 2018,0.672,0.09,0.239,81
0.0,Sat Jun 09 02:51:55 +0000 2018,1.0,0.0,0.0,82
0.2285,Sat Jun 09 02:40:38 +0000 2018,0.8,0.057,0.142,83
0.0,Sat Jun 09 02:37:30 +0000 2018,1.0,0.0,0.0,84
0.0,Sat Jun 09 02:32:05 +0000 2018,1.0,0.0,0.0,85
0.0,Sat Jun 09 02:23:54 +0000 2018,1.0,0.0,0.0,86
0.34,Sat Jun 09 02:08:18 +0000 2018,0.882,0.0,0.118,87
-0.4939,Sat Jun 09 01:57:58 +0000 2018,0.756,0.244,0.0,88
0.0,Sat Jun 09 01:46:33 +0000 2018,1.0,0.0,0.0,89
-0.128,Sat Jun 09 01:35:42 +0000 2018,0.611,0.214,0.176,90
0.3182,Sat Jun 09 01:28:52 +0000 2018,0.874,0.0,0.126,91
0.0,Sat Jun 09 01:25:09 +0000 2018,1.0,0.0,0.0,92
-0.5423,Sat Jun 09 01:19:39 +0000 2018,0.727,0.273,0.0,93
-0.6249,Sat Jun 09 01:13:04 +0000 2018,0.745,0.255,0.0,94
-0.7579,Sat Jun 09 01:01:12 +0000 2018,0.576,0.346,0.078,95
-0.5106,Sat Jun 09 00:51:34 +0000 2018,0.829,0.171,0.0,96
0.5719,Sat Jun 09 00:46:18 +0000 2018,0.654,0.0,0.346,97
-0.6249,Sat Jun 09 00:33:41 +0000 2018,0.702,0.298,0.0,98
-0.6705,Sat Jun 09 00:27:02 +0000 2018,0.667,0.333,0.0,99
-0.2235,Sat Jun 09 00:23:43 +0000 2018,0.888,0.112,0.0,100
