Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.6369,Sat Jun 09 15:16:31 +0000 2018,0.669,0.092,0.239,1
0.7269,Sat Jun 09 15:05:06 +0000 2018,0.711,0.0,0.289,2
-0.875,Sat Jun 09 14:51:21 +0000 2018,0.679,0.321,0.0,3
-0.6705,Sat Jun 09 14:50:03 +0000 2018,0.809,0.191,0.0,4
-0.0258,Sat Jun 09 14:37:50 +0000 2018,0.723,0.14,0.136,5
0.5106,Sat Jun 09 14:36:39 +0000 2018,0.845,0.0,0.155,6
0.0,Sat Jun 09 14:20:07 +0000 2018,1.0,0.0,0.0,7
0.6369,Sat Jun 09 14:02:25 +0000 2018,0.84,0.0,0.16,8
-0.296,Sat Jun 09 13:43:12 +0000 2018,0.864,0.136,0.0,9
0.0,Sat Jun 09 13:38:05 +0000 2018,1.0,0.0,0.0,10
0.4574,Sat Jun 09 13:26:45 +0000 2018,0.501,0.0,0.499,11
0.7906,Sat Jun 09 13:06:58 +0000 2018,0.667,0.0,0.333,12
0.0,Sat Jun 09 12:50:47 +0000 2018,1.0,0.0,0.0,13
0.5859,Sat Jun 09 12:33:02 +0000 2018,0.787,0.0,0.213,14
-0.296,Sat Jun 09 12:32:42 +0000 2018,0.784,0.216,0.0,15
-0.296,Sat Jun 09 12:17:32 +0000 2018,0.909,0.091,0.0,16
0.0,Sat Jun 09 12:00:08 +0000 2018,1.0,0.0,0.0,17
-0.3182,Sat Jun 09 11:49:08 +0000 2018,0.723,0.277,0.0,18
-0.8074,Sat Jun 09 11:41:16 +0000 2018,0.644,0.356,0.0,19
0.0,Sat Jun 09 11:23:34 +0000 2018,1.0,0.0,0.0,20
0.3612,Sat Jun 09 11:07:18 +0000 2018,0.783,0.0,0.217,21
0.4404,Sat Jun 09 11:05:12 +0000 2018,0.707,0.0,0.293,22
0.0,Sat Jun 09 11:03:06 +0000 2018,1.0,0.0,0.0,23
0.6369,Sat Jun 09 10:35:35 +0000 2018,0.833,0.0,0.167,24
0.25,Sat Jun 09 10:18:25 +0000 2018,0.895,0.0,0.105,25
0.5267,Sat Jun 09 10:00:17 +0000 2018,0.855,0.0,0.145,26
-0.1531,Sat Jun 09 09:41:41 +0000 2018,0.762,0.129,0.109,27
0.6124,Sat Jun 09 09:24:47 +0000 2018,0.722,0.0,0.278,28
0.5994,Sat Jun 09 09:07:20 +0000 2018,0.792,0.049,0.158,29
-0.4215,Sat Jun 09 08:50:10 +0000 2018,0.714,0.286,0.0,30
0.0,Sat Jun 09 08:42:33 +0000 2018,1.0,0.0,0.0,31
0.5106,Sat Jun 09 08:26:14 +0000 2018,0.752,0.0,0.248,32
-0.7579,Sat Jun 09 08:09:03 +0000 2018,0.622,0.303,0.075,33
-0.6249,Sat Jun 09 07:42:08 +0000 2018,0.83,0.17,0.0,34
0.8097,Sat Jun 09 07:25:53 +0000 2018,0.706,0.0,0.294,35
0.0,Sat Jun 09 07:09:23 +0000 2018,1.0,0.0,0.0,36
-0.25,Sat Jun 09 06:52:51 +0000 2018,0.595,0.232,0.173,37
0.7184,Sat Jun 09 06:41:20 +0000 2018,0.662,0.077,0.261,38
0.0,Sat Jun 09 06:24:54 +0000 2018,1.0,0.0,0.0,39
0.357,Sat Jun 09 06:06:12 +0000 2018,0.879,0.0,0.121,40
0.5859,Sat Jun 09 05:50:04 +0000 2018,0.743,0.0,0.257,41
0.2732,Sat Jun 09 05:35:00 +0000 2018,0.584,0.168,0.248,42
0.0,Sat Jun 09 05:32:30 +0000 2018,1.0,0.0,0.0,43
-0.2023,Sat Jun 09 05:00:08 +0000 2018,0.708,0.163,0.129,44
-0.34,Sat Jun 09 04:45:03 +0000 2018,0.893,0.107,0.0,45
-0.0387,Sat Jun 09 04:30:05 +0000 2018,0.948,0.052,0.0,46
-0.5574,Sat Jun 09 04:15:04 +0000 2018,0.53,0.322,0.148,47
0.1027,Sat Jun 09 04:06:01 +0000 2018,0.741,0.12,0.139,48
0.2263,Sat Jun 09 04:01:40 +0000 2018,0.905,0.0,0.095,49
0.0,Sat Jun 09 03:54:22 +0000 2018,1.0,0.0,0.0,50
-0.1027,Sat Jun 09 03:40:03 +0000 2018,0.935,0.065,0.0,51
0.5719,Sat Jun 09 03:29:11 +0000 2018,0.837,0.0,0.163,52
0.3182,Sat Jun 09 03:26:27 +0000 2018,0.648,0.13,0.223,53
0.7906,Sat Jun 09 02:55:05 +0000 2018,0.682,0.045,0.273,54
0.0,Sat Jun 09 02:36:05 +0000 2018,1.0,0.0,0.0,55
0.0,Sat Jun 09 02:24:01 +0000 2018,1.0,0.0,0.0,56
0.296,Sat Jun 09 02:08:01 +0000 2018,0.826,0.061,0.113,57
0.0,Sat Jun 09 01:56:23 +0000 2018,1.0,0.0,0.0,58
0.0,Sat Jun 09 01:53:49 +0000 2018,0.804,0.098,0.098,59
0.0772,Sat Jun 09 01:49:04 +0000 2018,0.929,0.0,0.071,60
0.0,Sat Jun 09 01:34:11 +0000 2018,1.0,0.0,0.0,61
0.0,Sat Jun 09 01:23:06 +0000 2018,1.0,0.0,0.0,62
0.0,Sat Jun 09 01:04:27 +0000 2018,1.0,0.0,0.0,63
-0.2732,Sat Jun 09 00:50:49 +0000 2018,0.826,0.174,0.0,64
-0.3818,Sat Jun 09 00:36:17 +0000 2018,0.776,0.224,0.0,65
-0.128,Sat Jun 09 00:25:28 +0000 2018,0.933,0.067,0.0,66
0.0,Sat Jun 09 00:05:29 +0000 2018,1.0,0.0,0.0,67
0.0,Fri Jun 08 23:49:01 +0000 2018,1.0,0.0,0.0,68
-0.6124,Fri Jun 08 23:48:34 +0000 2018,0.625,0.261,0.114,69
0.1027,Fri Jun 08 23:32:28 +0000 2018,0.58,0.196,0.225,70
0.0,Fri Jun 08 23:30:09 +0000 2018,1.0,0.0,0.0,71
-0.4215,Fri Jun 08 23:17:20 +0000 2018,0.781,0.219,0.0,72
0.0,Fri Jun 08 23:15:05 +0000 2018,1.0,0.0,0.0,73
-0.6249,Fri Jun 08 23:14:44 +0000 2018,0.662,0.338,0.0,74
0.0,Fri Jun 08 23:00:35 +0000 2018,1.0,0.0,0.0,75
0.6249,Fri Jun 08 23:00:07 +0000 2018,0.769,0.0,0.231,76
-0.128,Fri Jun 08 22:46:06 +0000 2018,0.747,0.137,0.116,77
0.0,Fri Jun 08 22:31:08 +0000 2018,1.0,0.0,0.0,78
-0.4588,Fri Jun 08 22:22:03 +0000 2018,0.842,0.158,0.0,79
0.0,Fri Jun 08 22:16:07 +0000 2018,1.0,0.0,0.0,80
0.0,Fri Jun 08 22:01:03 +0000 2018,1.0,0.0,0.0,81
0.5859,Fri Jun 08 21:46:05 +0000 2018,0.714,0.071,0.214,82
0.0,Fri Jun 08 21:31:03 +0000 2018,1.0,0.0,0.0,83
0.3612,Fri Jun 08 21:16:01 +0000 2018,0.898,0.0,0.102,84
0.5859,Fri Jun 08 21:01:06 +0000 2018,0.853,0.0,0.147,85
0.0,Fri Jun 08 20:46:03 +0000 2018,1.0,0.0,0.0,86
0.296,Fri Jun 08 20:31:07 +0000 2018,0.826,0.061,0.113,87
0.4767,Fri Jun 08 20:15:11 +0000 2018,0.846,0.0,0.154,88
0.8555,Fri Jun 08 20:07:39 +0000 2018,0.539,0.0,0.461,89
0.0,Fri Jun 08 19:46:01 +0000 2018,1.0,0.0,0.0,90
0.6369,Fri Jun 08 19:31:04 +0000 2018,0.785,0.0,0.215,91
0.0,Fri Jun 08 19:20:35 +0000 2018,1.0,0.0,0.0,92
